complex_color,simple_color,rgb
vomit green,green,"(137, 162, 3)"
purple pink,pink,"(224, 63, 216)"
dusty pink,pink,"(213, 138, 148)"
faded green,green,"(123, 178, 116)"
camo green,green,"(82, 101, 37)"
pinky purple,purple,"(201, 76, 190)"
pink purple,purple,"(219, 75, 218)"
brownish red,brown,"(158, 54, 35)"
dark rose,brown,"(181, 72, 93)"
mud,brown,"(115, 92, 18)"
brownish,brown,"(156, 109, 87)"
emerald green,green,"(2, 143, 30)"
pale brown,brown,"(177, 145, 110)"
dull blue,blue,"(73, 117, 156)"
burnt umber,brown,"(160, 69, 14)"
medium green,green,"(57, 173, 72)"
clay,brown,"(182, 106, 80)"
light aqua,green,"(140, 255, 219)"
light olive green,green,"(164, 190, 92)"
brownish orange,brown,"(203, 119, 35)"
dark aqua,blue,"(5, 105, 107)"
purplish pink,purple,"(206, 93, 174)"
dark salmon,brown,"(200, 90, 83)"
greenish grey,grey,"(150, 174, 141)"
jade,green,"(31, 167, 116)"
ugly green,green,"(122, 151, 3)"
dark beige,brown,"(172, 147, 98)"
emerald,green,"(1, 160, 73)"
pale red,red,"(217, 84, 77)"
light magenta,purple,"(250, 95, 247)"
sky,blue,"(130, 202, 252)"
light cyan,blue,"(172, 255, 252)"
yellow orange,orange,"(252, 176, 1)"
reddish purple,purple,"(145, 9, 81)"
reddish pink,red,"(254, 44, 84)"
orchid,purple,"(200, 117, 196)"
dirty yellow,green,"(205, 197, 10)"
orange red,red,"(253, 65, 30)"
deep red,red,"(154, 2, 0)"
orange brown,brown,"(190, 100, 0)"
cobalt blue,blue,"(3, 10, 167)"
neon pink,pink,"(254, 1, 154)"
rose pink,pink,"(247, 135, 154)"
greyish purple,purple,"(136, 113, 145)"
raspberry,red,"(176, 1, 73)"
aqua green,green,"(18, 225, 147)"
salmon pink,pink,"(254, 123, 124)"
tangerine,orange,"(255, 148, 8)"
brownish green,green,"(106, 110, 9)"
red brown,brown,"(139, 46, 22)"
greenish brown,green,"(105, 97, 18)"
pumpkin,brown,"(225, 119, 1)"
pine green,green,"(10, 72, 30)"
charcoal,black,"(52, 56, 55)"
baby pink,pink,"(255, 183, 206)"
cornflower,blue,"(106, 121, 247)"
blue violet,blue,"(93, 6, 233)"
chocolate,black,"(61, 28, 2)"
greyish green,green,"(130, 166, 125)"
scarlet,red,"(190, 1, 25)"
green yellow,green,"(201, 255, 39)"
dark olive,black,"(55, 62, 2)"
sienna,brown,"(169, 86, 30)"
pastel purple,purple,"(202, 160, 255)"
terracotta,brown,"(202, 102, 65)"
aqua blue,blue,"(2, 216, 233)"
sage green,green,"(136, 179, 120)"
blood red,red,"(152, 0, 2)"
deep pink,pink,"(203, 1, 98)"
grass,green,"(92, 172, 45)"
moss,green,"(118, 153, 88)"
pastel blue,blue,"(162, 191, 254)"
bluish green,green,"(16, 166, 116)"
green blue,green,"(6, 180, 139)"
dark tan,brown,"(175, 136, 74)"
greenish blue,green,"(11, 139, 135)"
pale orange,orange,"(255, 167, 86)"
vomit,green,"(162, 164, 21)"
forrest green,green,"(21, 68, 6)"
dark lavender,purple,"(133, 103, 152)"
dark violet,black,"(52, 1, 63)"
purple blue,purple,"(99, 45, 233)"
dark cyan,green,"(10, 136, 138)"
olive drab,green,"(111, 118, 50)"
pinkish,pink,"(212, 106, 126)"
cobalt,blue,"(30, 72, 143)"
neon purple,purple,"(188, 19, 254)"
light turquoise,green,"(126, 244, 204)"
apple green,green,"(118, 205, 38)"
dull green,green,"(116, 166, 98)"
wine,red,"(128, 1, 63)"
powder blue,blue,"(177, 209, 252)"
off white,beige,"(255, 255, 228)"
electric blue,blue,"(6, 82, 255)"
dark turquoise,green,"(4, 92, 90)"
blue purple,purple,"(87, 41, 206)"
azure,blue,"(6, 154, 243)"
bright red,red,"(255, 0, 13)"
pinkish red,red,"(241, 12, 69)"
cornflower blue,blue,"(81, 112, 215)"
light olive,green,"(172, 191, 105)"
grape,purple,"(108, 52, 97)"
greyish blue,blue,"(94, 129, 157)"
purplish blue,blue,"(96, 30, 249)"
yellowish green,green,"(176, 221, 22)"
greenish yellow,green,"(205, 253, 2)"
medium blue,blue,"(44, 111, 187)"
dusty rose,brown,"(192, 115, 122)"
light violet,purple,"(214, 180, 252)"
midnight blue,blue,"(2, 0, 53)"
bluish purple,purple,"(112, 59, 231)"
red orange,red,"(253, 60, 6)"
dark magenta,purple,"(150, 0, 86)"
greenish,green,"(64, 163, 104)"
ocean blue,blue,"(3, 113, 156)"
coral,pink,"(252, 90, 80)"
cream,yellow,"(255, 255, 194)"
reddish brown,brown,"(127, 43, 10)"
burnt sienna,brown,"(176, 78, 15)"
brick,brown,"(160, 54, 35)"
sage,green,"(135, 174, 115)"
grey green,green,"(120, 155, 115)"
white,white,"(255, 255, 255)"
robin's egg blue,blue,"(152, 239, 249)"
moss green,green,"(101, 139, 56)"
steel blue,blue,"(90, 125, 154)"
eggplant,black,"(56, 8, 53)"
light yellow,yellow,"(255, 254, 122)"
leaf green,green,"(92, 169, 4)"
light grey,grey,"(216, 220, 214)"
puke,green,"(165, 165, 2)"
pinkish purple,purple,"(214, 72, 215)"
sea blue,blue,"(4, 116, 149)"
pale purple,purple,"(183, 144, 212)"
slate blue,blue,"(91, 124, 153)"
blue grey,grey,"(96, 124, 142)"
hunter green,green,"(11, 64, 8)"
fuchsia,purple,"(237, 13, 217)"
crimson,red,"(140, 0, 15)"
pale yellow,yellow,"(255, 255, 132)"
ochre,brown,"(191, 144, 5)"
mustard yellow,green,"(210, 189, 10)"
light red,pink,"(255, 71, 76)"
cerulean,blue,"(4, 133, 209)"
pale pink,pink,"(255, 207, 220)"
deep blue,blue,"(4, 2, 115)"
rust,brown,"(168, 60, 9)"
light teal,green,"(144, 228, 193)"
slate,grey,"(81, 101, 114)"
goldenrod,orange,"(250, 194, 5)"
dark yellow,brown,"(213, 182, 10)"
dark grey,black,"(54, 55, 55)"
army green,green,"(75, 93, 22)"
grey blue,blue,"(107, 139, 164)"
seafoam,green,"(128, 249, 173)"
puce,brown,"(165, 126, 82)"
spring green,green,"(169, 249, 113)"
dark orange,brown,"(198, 81, 2)"
sand,beige,"(226, 202, 118)"
pastel green,green,"(176, 255, 157)"
mint,green,"(159, 254, 176)"
light orange,orange,"(253, 170, 72)"
bright pink,pink,"(254, 1, 177)"
chartreuse,green,"(193, 248, 10)"
deep purple,black,"(54, 1, 63)"
dark brown,black,"(52, 28, 2)"
taupe,grey,"(185, 162, 129)"
pea green,green,"(142, 171, 18)"
puke green,green,"(154, 174, 7)"
kelly green,green,"(2, 171, 46)"
seafoam green,green,"(122, 249, 171)"
blue green,green,"(19, 126, 109)"
khaki,green,"(170, 166, 98)"
burgundy,purple,"(97, 0, 35)"
dark teal,green,"(1, 77, 78)"
brick red,red,"(143, 20, 2)"
royal purple,purple,"(75, 0, 110)"
plum,purple,"(88, 15, 65)"
mint green,green,"(143, 255, 159)"
gold,yellow,"(219, 180, 12)"
baby blue,blue,"(162, 207, 254)"
yellow green,green,"(192, 251, 45)"
bright purple,purple,"(190, 3, 253)"
dark red,red,"(132, 0, 0)"
pale blue,blue,"(208, 254, 254)"
grass green,green,"(63, 155, 11)"
navy,blue,"(1, 21, 62)"
aquamarine,green,"(4, 216, 178)"
burnt orange,brown,"(192, 78, 1)"
neon green,green,"(12, 255, 12)"
bright blue,blue,"(1, 101, 252)"
rose,pink,"(207, 98, 117)"
light pink,pink,"(255, 209, 223)"
mustard,brown,"(206, 179, 1)"
indigo,blue,"(56, 2, 130)"
lime,green,"(170, 255, 50)"
sea green,green,"(83, 252, 161)"
periwinkle,purple,"(142, 130, 254)"
dark pink,pink,"(203, 65, 107)"
olive green,green,"(103, 122, 4)"
peach,pink,"(255, 176, 124)"
pale green,green,"(199, 253, 181)"
light brown,brown,"(173, 129, 80)"
hot pink,pink,"(255, 2, 141)"
black,black,"(0, 0, 0)"
lilac,purple,"(206, 162, 253)"
navy blue,blue,"(0, 17, 70)"
royal blue,blue,"(5, 4, 170)"
beige,beige,"(230, 218, 166)"
salmon,pink,"(255, 121, 108)"
olive,green,"(110, 117, 14)"
maroon,brown,"(101, 0, 33)"
bright green,green,"(1, 255, 7)"
dark purple,black,"(53, 6, 62)"
mauve,pink,"(174, 113, 129)"
forest green,green,"(6, 71, 12)"
aqua,green,"(19, 234, 201)"
cyan,blue,"(0, 255, 255)"
tan,beige,"(209, 178, 111)"
dark blue,blue,"(0, 3, 91)"
lavender,purple,"(199, 159, 239)"
turquoise,green,"(6, 194, 172)"
dark green,green,"(3, 53, 0)"
violet,purple,"(154, 14, 234)"
light purple,purple,"(191, 119, 246)"
lime green,green,"(137, 254, 5)"
grey,grey,"(146, 149, 145)"
sky blue,blue,"(117, 187, 253)"
yellow,yellow,"(255, 255, 20)"
magenta,purple,"(194, 0, 120)"
light green,green,"(150, 249, 123)"
orange,orange,"(249, 115, 6)"
teal,green,"(2, 147, 134)"
light blue,blue,"(149, 208, 252)"
red,red,"(229, 0, 0)"
brown,brown,"(101, 55, 0)"
pink,pink,"(255, 129, 192)"
blue,blue,"(3, 67, 223)"
green,green,"(21, 176, 26)"
purple,purple,"(126, 30, 156)"
